fy,nasbo,zip,state,year,quar,stateno,general_revenue,personal_income1000s_annual,pop_annual,beginbal,exprev,year1,election_year,state1,sen_cont_alt,hs_cont_alt,govparty_c,gov_non_maj_pty,veto_override_prop,veto_override_prop_elected,vote_nec_budg,vote_nec_any_tax_inc,leg_cont,split_leg,government_cont,divided_gov,simple_divided_gov,sen_dem_prop_all,sen_rep_prop_all,hs_dem_prop_all,hs_rep_prop_all,sen_dem_veto_proof,sen_rep_veto_proof,hs_dem_veto_proof,hs_rep_veto_proof,dem_veto_proof,rep_veto_proof,veto_proof,divided_gov_veto_proof,dem_unified,veto_proof_leg_oth_gov,true_government_cont_a2,true_divided_gov_a,vote_nec_any_tax_inc_dum,sen_dem_tax_super,sen_rep_tax_super,hs_dem_tax_super,hs_rep_tax_super,dem_tax_super,rep_tax_super,leg_cont_tax_super,divided_leg_tax_super,estimbalance,year2,state2,dpi_change,dpi_pc_change,pop_change,pop_pc_change,taxes,govparty_rep,hserepcontrl,senaterepcontrl,spyear,spstate,sandp,govtotalsxrep,rrr,ddd,rrd,rdr,ddr,drd,rdd,drr,dltasandp,year7,electyr,state7,stateno7,sen_cont_alt2,hs_cont_alt2,gub_election2,govparty_c2,gov_non_maj_pty2,fy8,nasbo8,zip8,state8,estimbalance2,legtotals,legsales,leginctax,legcorpinc,legcigtob,legmotofuel,legalkie,legothers,legfees,govtotals,govsales,govinctax,govcorpinc,govcigtob,govmotofuel,govalkie,govothers,govfees,var118,legtotalspctaxes,legsalespctaxes,leginctaxpctaxes,legcorpincpctaxes,legcigtobpctaxes,legmotofuelpctaxes,legalkiepctaxes,legotherspctaxes,legfeespctaxes,govtotalspctaxes,govsalespctaxes,govinctaxpctaxes,govcorpincpctaxes,govcigtobpctaxes,govmotofuelpctaxes,govalkiepctaxes,govotherspctaxes,govfeespctaxes,stateno9,state_name9,elect_year9,sen_dem_prop,hs_dem_prop,dem_gub_prop_last_elect,govtotalspctaxesrepgov,govname1,dem_comp_score,dem_gov,dem_comp_score2,repgovaverage,state9,var149,year9,biennium,biennium_b,biennium_first_year,biennium_second_year,var155,gub_election,gub_election_regime,govparty_d,rep_gov,demgov_ideol,repgov_ideol,demsen,repsen,demhse,rephse,repunified,demunified,repunifiedideo,demunifiedideo,repgovtotals,repgovsales,repgovinc,repgovcorp,demgovtotals,demgovsales,demgovinc,demgovcrp,dem_gub_prop_last_elect2,rep_gub_prop_last_elect2,dem_gub_prop_last_elect3,rep_gub_prop_last_elect3,zip3,stateshor,yearnasbo,st,alpha,var188,hou_chamber,sen_chamber,hou_dem,hou_rep,hou_majority,sen_dem,sen_rep,sen_majority,var190,var191,average,allstdev,allavg,distance,placeinprimary,absideol,sumofideol,var199,var200,var201,var202,var203,repgovideology,demgovideology,govtotalspctaxesrep,govtotalspctaxesdem
1988,1987,AL,Alabama,1987,2.5,1,6.00E+09,5.50E+10,4.00E+06,9,2535,1987,1986,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.857143,0.142857,0.847619,0.152381,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,149,1987,Alabama,3.00E+06,6.25,0,0,3.20E+09,1,0,0,1988,Alabama,9,,1,0,0,0,0,0,0,0,0,1988,1987,Alabama,1,1,1,0,0,0,1988,1987,AL,Alabama,1.50E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alabama,1986,0.857143,0.847619,0.4355,0,"Wallace, George C.",-0.0645,0,0,2.27,Alabama,1,1987,1987,1987,1,0,"Hunt, Guy",0,1990,0,1,0,2.27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4355,0.5645,0,0.5645,AL,Alabama,1987,,,,,,,,,,,,1987,Alabama,2.27,1.3,2.13,0,1,2.13333,2.13,1987,Alabama,Alabama,1987,"Hunt, Guy",2.27,0,0,0
1989,Oct. 1988,AL,Alabama,1988,2.5,1,6.50E+09,6.00E+10,4.00E+06,156,3063,1988,1987,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.857143,0.142857,0.847619,0.152381,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,8,1988,Alabama,4.00E+06,7.84,0,0,3.40E+09,1,0,0,1989,Alabama,9,0,1,0,0,0,0,0,0,0,0,1989,1988,Alabama,1,1,1,0,0,0,1989,Oct. 1988,AL,Alabama,8.00E+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alabama,1987,0.857143,0.847619,0.4355,0,"Hunt, Guy",-0.0645,0,0,2.27,Alabama,1,1988,1987,1987,0,1,"Hunt, Guy",0,1990,0,1,0,2.27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4355,0.5645,0,0.5645,AL,Alabama,1988,,,,,,,,,,,,1988,Alabama,2.27,1.3,2.13,0,1,2.13333,2.13,1988,Alabama,Alabama,1988,"Hunt, Guy",2.27,0,0,0
1990,Mar. 1989,AL,Alabama,1989,2.5,1,6.90E+09,6.30E+10,4.10E+06,53,3232,1989,1988,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.8,0.171429,0.809524,0.161905,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,67,1989,Alabama,5.00E+06,9.09,0,0,3.70E+09,1,0,0,1990,Alabama,9,0,1,0,0,0,0,0,0,0,0,1990,1989,Alabama,1,1,1,0,0,0,1990,Mar. 1989,AL,Alabama,6.70E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alabama,1988,0.857143,0.847619,0.4355,0,"Hunt, Guy",-0.0645,0,0,2.27,Alabama,1,1989,1989,1989,1,0,"Hunt, Guy",0,1990,0,1,0,2.27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4355,0.5645,0,0.5645,AL,Alabama,1989,,,,,,,,,,,,1989,Alabama,2.27,1.3,2.13,0,1,2.13333,2.13,1989,Alabama,Alabama,1989,"Hunt, Guy",2.27,0,0,0
1991,Mar. 1990,AL,Alabama,1990,2.5,1,7.60E+09,6.70E+10,4.10E+06,65,3322,1990,1989,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.8,0.171429,0.809524,0.161905,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,-3,1990,Alabama,3.00E+06,5,100000,2.5,3.80E+09,1,0,0,1991,Alabama,9,55,1,0,0,0,0,0,0,0,0,1991,1990,Alabama,1,1,1,1,0,0,1991,Mar. 1990,AL,Alabama,-3.00E+06,4.70E+07,0,0,0,0,0,0,4.70E+07,0,5.50E+07,0,0,0,0,0,0,5.50E+07,0,3.80E+09,1.237,0,0,0,0,0,0,1.237,0,1.447,0,0,0,0,0,0,1.447,0,1,Alabama,1989,0.857143,0.847619,0.4355,1.447,"Hunt, Guy",-0.0645,0,0,2.27,Alabama,1,1990,1989,1989,0,1,"Hunt, Guy",1,1990,0,1,0,2.27,1,0,1,0,0,0,0,0,1.447,0,0,0,0,0,0,0,0.4355,0.5645,0,0.5645,AL,Alabama,1990,,,,,,,,,,,,1990,Alabama,2.27,1.3,2.13,0,1,2.13333,2.13,1990,Alabama,Alabama,1990,"Hunt, Guy",2.27,0,1.447,0
1992,Apr. 1991,AL,Alabama,1991,2.5,1,8.20E+09,7.20E+10,4.20E+06,1,3432,1991,1990,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.8,0.2,0.790476,0.209524,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1991,Alabama,4.00E+06,6.35,0,0,3.90E+09,1,0,0,1992,Alabama,9,0,1,0,0,0,0,0,0,0,0,1992,1991,Alabama,1,1,1,0,0,0,1992,Apr. 1991,AL,Alabama,0,2.20E+07,0,0,0,0,0,0,2.20E+07,0,0,0,0,0,0,0,0,0,0,3.90E+09,0.567,0,0,0,0,0,0,0.567,0,0,0,0,0,0,0,0,0,0,1,Alabama,1990,0.8,0.790476,0.4789,0,"Hunt, Guy",-0.0211,0,0,2.27,Alabama,1,1991,1991,1991,1,0,"Hunt, Guy",0,1994,0,1,0,2.27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4789,0.5211,0,0.5211,AL,Alabama,1991,,,,,,,,,,,,1991,Alabama,2.27,1.3,2.13,0,1,2.13333,2.13,1991,Alabama,Alabama,1991,"Hunt, Guy",2.27,0,0,0
1993,Apr. 1992,AL,Alabama,1992,2.5,1,8.90E+09,7.50E+10,4.20E+06,26,3660,1992,1991,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.8,0.2,0.780952,0.219048,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,32,1992,Alabama,5.00E+06,7.46,100000,2.44,4.20E+09,1,0,0,1993,Alabama,9,522,1,0,0,0,0,0,0,0,0,1993,1992,Alabama,1,1,1,0,1,0,1993,Apr. 1992,AL,Alabama,3.20E+07,1.00E+08,0,0,0,0,1.00E+08,0,0,0,5.20E+08,1.00E+08,1.50E+08,5.20E+07,0,0,0,2.20E+08,0,4.20E+09,2.498,0,0,0,0,2.498,0,0,0,12.381,2.381,3.571,1.238,0,0,0,5.238,0,1,Alabama,1991,0.8,0.790476,0.4789,12.381,"Hunt, Guy",-0.0211,1,-0.0211,2.27,Alabama,1,1992,1991,1991,0,1,"Hunt, Guy",0,1994,0,1,0,2.27,1,0,1,0,0,1,0,2.27,12.381,2.381,3.571,1.238,0,0,0,0,0.4789,0.5211,0,0.5211,AL,Alabama,1992,,,,,,,,,,,,1992,Alabama,2.27,1.3,2.13,0,1,2.13333,2.13,1992,Alabama,Alabama,1992,"Hunt, Guy",2.27,0,12.381,0
1994,4/1/93,AL,Alabama,1993,2.5,1,9.70E+09,7.90E+10,4.30E+06,130,3857,1993,1992,Alabama,1,1,1,0,0.5,1,0.5,0.5,1,0,1,0,0,0.8,0.2,0.780952,0.219048,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,119,1993,Alabama,3.00E+06,4.17,0,0,4.60E+09,0,0,0,1994,Alabama,9,0,0,0,0,0,0,0,0,1,0,1994,1993,Alabama,1,1,1,0,1,0,1994,4/1/93,AL,Alabama,1.20E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alabama,1992,0.8,0.790476,0.4789,0,"Hunt, Guy",-0.0211,1,-0.0211,0,Alabama,1,1993,1993,1993,1,0,"Hunt, Guy and then James Folsom Jr.",0,1994,1,0,2.27,0,1,0,1,0,0,1,0,2.27,0,0,0,0,0,0,0,0,0.4789,0.5211,0.4789,0,AL,Alabama,1993,AL,1,1993,,,,,,,,,1993,Alabama,2.27,1.3,2.13,0,1,2.13333,2.13,1993,Alabama,Alabama,1993,"Hunt, Guy and then James Folsom Jr.",0,2.27,0,0
1995,Apr. 1994,AL,Alabama,1994,2.5,1,1.00E+10,8.40E+10,4.30E+06,128,4078,1994,1993,Alabama,1,1,1,0,0.5,1,0.5,0.5,1,0,1,0,0,0.771429,0.228571,0.780952,0.219048,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1994,Alabama,4.00E+06,5.33,100000,2.38,4.80E+09,0,0,0,1995,Alabama,9,0,0,0,0,0,0,0,0,1,0,1995,1994,Alabama,1,1,1,1,0,0,1995,Apr. 1994,AL,Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alabama,1993,0.8,0.790476,0.4789,0,"Hunt, Guy and then James Folsom Jr.",-0.0211,0,0,0,Alabama,1,1994,1993,1993,0,1,"Folsom, James E. Jr.",1,1994,1,0,-0.18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4789,0.5211,0.4789,0,AL,Alabama,1994,AL,1,1994,,,,,,,,,1994,Alabama,-0.18,1.06,0.13,-1.74,1,0.133333,1.13,1994,Alabama,Alabama,1994,"Folsom, James E. Jr.",0,-0.18,0,0
1996,Apr. 1995,AL,Alabama,1995,2.5,1,1.10E+10,8.80E+10,4.30E+06,54,4244,1995,1994,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.657143,0.342857,0.704762,0.295238,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,43,1995,Alabama,5.00E+06,6.33,0,0,5.10E+09,1,0,0,1996,Alabama,9,0,1,0,0,0,0,0,0,0,0,1996,1995,Alabama,1,1,1,0,0,0,1996,Apr. 1995,AL,Alabama,4.30E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alabama,1994,0.657143,0.704762,0.4955,0,"Folsom, James E. Jr.",-0.0045,0,0,2,Alabama,1,1995,1995,1995,1,0,"James, Forrest H. ""Fob"" Jr.",0,1998,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4955,0.5045,0,0.5045,AL,Alabama,1995,AL,1,1995,,,,,,,,,1995,Alabama,2,1.2,1.88,0,1,1.875,3.10833,1995,Alabama,Alabama,1995,"James, Forrest H. ""Fob"" Jr.",2,0,0,0
1997,Apr. 1996,AL,Alabama,1996,2.5,1,1.10E+10,9.20E+10,4.40E+06,58,4440,1996,1995,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.657143,0.342857,0.695238,0.304762,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,46,1996,Alabama,4.00E+06,4.76,0,0,5.30E+09,1,0,0,1997,Alabama,9,0,1,0,0,0,0,0,0,0,0,1997,1996,Alabama,1,1,1,0,0,0,1997,Apr. 1996,AL,Alabama,4.60E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alabama,1995,0.657143,0.704762,0.4955,0,"James, Forrest H. ""Fob"" Jr.",-0.0045,0,0,2,Alabama,1,1996,1995,1995,0,1,"James, Forrest H. ""Fob"" Jr.",0,1998,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4955,0.5045,0,0.5045,AL,Alabama,1996,AL,1,1996,0.076,0.152,-0.126,0.832,-0.126,-0.206,1.024,-0.206,1996,Alabama,2,1.2,1.88,0,1,1.875,3.10833,1996,Alabama,Alabama,1996,"James, Forrest H. ""Fob"" Jr.",2,0,0,0
1998,Apr. 1997,AL,Alabama,1997,2.5,1,1.10E+10,9.80E+10,4.40E+06,23,4715,1997,1996,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.628572,0.342857,0.685714,0.314286,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1997,Alabama,4.00E+06,4.55,100000,2.33,5.50E+09,1,0,0,1998,Alabama,9,0,1,0,0,0,0,0,0,0,0,1998,1997,Alabama,1,1,1,0,0,0,1998,Apr. 1997,AL,Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alabama,1996,0.657143,0.704762,0.4955,0,"James, Forrest H. ""Fob"" Jr.",-0.0045,0,0,2,Alabama,1,1997,1997,1997,1,0,"James, Forrest H. ""Fob"" Jr.",0,1998,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4955,0.5045,0,0.5045,AL,Alabama,1997,AL,1,1997,0.076,0.157,-0.126,0.832,-0.126,-0.124,1.024,-0.124,1997,Alabama,2,1.2,1.88,0,1,1.875,3.10833,1997,Alabama,Alabama,1997,"James, Forrest H. ""Fob"" Jr.",2,0,0,0
1999,May-98,AL,Alabama,1998,2.5,1,1.20E+10,1.00E+11,4.40E+06,51,4940,1998,1997,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.628572,0.371429,0.67619,0.32381,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,34,1998,Alabama,6.00E+06,6.52,0,0,5.70E+09,1,0,0,1999,Alabama,9,0,1,0,0,0,0,0,0,0,0,1999,1998,Alabama,1,1,1,1,1,0,1999,May-98,AL,Alabama,3.40E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alabama,1997,0.657143,0.704762,0.4955,0,"James, Forrest H. ""Fob"" Jr.",-0.0045,1,-0.0045,2,Alabama,1,1998,1997,1997,0,1,"James, Forrest H. ""Fob"" Jr.",1,1998,0,1,0,2,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0.4955,0.5045,0,0.5045,AL,Alabama,1998,AL,1,1998,0.076,0.087,-0.126,0.842,-0.126,-0.223,1.029,-0.223,1998,Alabama,2,1.2,1.88,2.64,1,1.875,3.10833,1998,Alabama,Alabama,1998,"James, Forrest H. ""Fob"" Jr.",2,0,0,0
2000,Jun-99,AL,Alabama,1999,2.5,1,1.30E+10,1.10E+11,4.50E+06,72,5245,1999,1998,Alabama,1,1,1,0,0.5,1,0.5,0.5,1,0,1,0,0,0.657143,0.342857,0.657143,0.342857,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,38,1999,Alabama,2.00E+06,2.04,0,0,6.00E+09,0,0,0,2000,Alabama,9,0,0,0,0,0,0,0,0,1,0,2000,1999,Alabama,1,1,1,0,1,0,2000,Jun-99,AL,Alabama,3.80E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alabama,1998,0.657143,0.657143,0.5787,0,"James, Forrest H. ""Fob"" Jr.",0.0787,1,0.0787,0,Alabama,1,1999,1999,1999,1,0,"Siegelman, Donald",0,2002,1,0,-1.15,0,1,0,1,0,0,1,0,-1.15,0,0,0,0,0,0,0,0,0.5787,0.4213,0.5787,0,AL,Alabama,1999,AL,1,1999,0.04,0.182,-0.143,0.842,-0.143,-0.124,1.133,-0.124,1999,Alabama,-1.15,1.44,-0.76,0,1,0.764706,1.47,1999,Alabama,Alabama,1999,"Siegelman, Donald",0,-1.15,0,0
2001,Aug. 2000,AL,Alabama,2000,2.5,1,1.40E+10,1.10E+11,4.50E+06,101,5179,2000,1999,Alabama,1,1,1,0,0.5,1,0.5,0.5,1,0,1,0,0,0.657143,0.342857,0.657143,0.342857,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,20,2000,Alabama,1.00E+07,10,100000,2.27,6.40E+09,0,0,0,2001,Alabama,9,0,0,0,0,0,0,0,0,1,0,2001,2000,Alabama,1,1,1,0,1,0,2001,Aug. 2000,AL,Alabama,2.00E+07,0,0,0,0,0,0,0,0,0,7.00E+07,0,0,5.50E+07,0,0,0,0,1.50E+07,6.40E+09,0,0,0,0,0,0,0,0,0,1.094,0,0,0.859,0,0,0,0,0.234,1,Alabama,1999,0.657143,0.657143,0.5787,0,"Siegelman, Donald",0.0787,1,0.0787,0,Alabama,1,2000,1999,1999,0,1,"Siegelman, Donald",0,2002,1,0,-1.15,0,1,0,1,0,0,1,0,-1.15,0,0,0,0,1.094,0,0,0.859,0.5787,0.4213,0.5787,0,AL,Alabama,2000,AL,1,2000,0.063,0.182,-0.127,0.842,-0.127,-0.124,1.133,-0.124,2000,Alabama,-1.15,1.44,-0.76,0,1,0.764706,1.47,2000,Alabama,Alabama,2000,"Siegelman, Donald",0,-1.15,0,1.094
2002,1-Jun,AL,Alabama,2001,2.5,1,1.60E+10,1.20E+11,4.50E+06,67,5278,2001,2000,Alabama,1,1,1,0,0.5,1,0.5,0.5,1,0,1,0,0,0.657143,0.342857,0.638095,0.342857,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,25,2001,Alabama,0,0,0,0,6.70E+09,0,0,0,2002,Alabama,9,0,0,0,0,0,0,0,0,1,0,2002,2001,Alabama,1,1,1,0,1,0,2002,1-Jun,AL,Alabama,2.50E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alabama,2000,0.657143,0.657143,0.5787,0,"Siegelman, Donald",0.0787,1,0.0787,0,Alabama,1,2001,2001,2001,1,0,"Siegelman, Donald",0,2002,1,0,-1.15,0,1,0,1,0,0,1,0,-1.15,0,0,0,0,0,0,0,0,0.5787,0.4213,0.5787,0,AL,Alabama,2001,AL,1,2001,0.063,0.182,-0.135,0.862,-0.135,-0.124,1.133,-0.124,2001,Alabama,-1.15,1.44,-0.76,0,1,0.764706,1.47,2001,Alabama,Alabama,2001,"Siegelman, Donald",0,-1.15,0,0
2003,2-May,AL,Alabama,2002,2.5,1,1.60E+10,1.20E+11,4.50E+06,19,5296,2002,2001,Alabama,1,1,1,0,0.5,1,0.5,0.5,1,0,1,0,0,0.685714,0.314286,0.638095,0.361905,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,15,2002,Alabama,1.00E+07,9.09,0,0,6.50E+09,0,0,0,2003,Alabama,9,0,0,0,0,0,0,0,0,1,0,2003,2002,Alabama,1,1,1,1,0,0,2003,2-May,AL,Alabama,1.50E+07,0,0,0,0,0,0,0,0,0,1.60E+07,0,0,0,0,0,0,0,1.60E+07,6.50E+09,0,0,0,0,0,0,0,0,0,0.246,0,0,0,0,0,0,0,0.246,1,Alabama,2001,0.657143,0.657143,0.5787,0,"Siegelman, Donald",0.0787,0,0,0,Alabama,1,2002,2001,2001,0,1,"Siegelman, Donald",1,2002,1,0,-1.15,0,1,0,1,0,0,0,0,0,0,0,0,0,0.246,0,0,0,0.5787,0.4213,0.5787,0,AL,Alabama,2002,AL,1,2002,0.063,0.182,-0.135,0.862,-0.135,-0.124,1.133,-0.124,2002,Alabama,-1.15,1.44,-0.76,-2.41,1,0.764706,1.47,2002,Alabama,Alabama,2002,"Siegelman, Donald",0,-1.15,0,0.246
2004,3-Jun,AL,Alabama,2003,2.5,1,1.70E+10,1.30E+11,4.50E+06,113,5635,2003,2002,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.714286,0.285714,0.609524,0.390476,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,51,2003,Alabama,0,0,0,0,6.40E+09,1,0,0,2004,Alabama,9,0,1,0,0,0,0,0,0,0,0,2004,2003,Alabama,1,1,1,0,0,0,2004,3-Jun,AL,Alabama,5.10E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alabama,2002,0.714286,0.609524,0.4988,0,"Siegelman, Donald",-0.0012,0,0,1.77,Alabama,1,2003,2003,2003,1,0,"Riley, Bob",0,2006,0,1,0,1.77,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4988,0.5012,0,0.5012,AL,Alabama,2003,AL,1,2003,0.074,0.022,-0.156,0.84,-0.156,-0.223,1.133,-0.223,2003,Alabama,1.77,0.86,1.65,0,1,1.64706,4.20956,2003,Alabama,Alabama,2003,"Riley, Bob",1.77,0,0,0
2005,Apr. 2004,AL,Alabama,2004,2.5,1,1.70E+10,1.40E+11,4.60E+06,323,6406,2004,2003,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.714286,0.285714,0.6,0.4,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,421,2004,Alabama,1.00E+07,8.33,0,0,7.00E+09,1,0,0,2005,Alabama,9,85.3,1,0,0,0,0,0,0,0,0,2005,2004,Alabama,1,1,1,0,0,0,2005,Apr. 2004,AL,Alabama,4.20E+08,1.70E+08,1.90E+07,0,0,8.70E+07,0,0,5.60E+07,1.10E+07,8.50E+07,0,0,0,0,0,0,5.00E+07,3.50E+07,7.00E+09,2.459,0.267,0,0,1.243,0,0,0.799,0.15,1.214,0,0,0,0,0,0,0.714,0.5,1,Alabama,2003,0.714286,0.609524,0.4988,1.214,"Riley, Bob",-0.0012,0,0,1.77,Alabama,1,2004,2003,2003,0,1,"Riley, Bob",0,2006,0,1,0,1.77,1,0,1,0,0,0,0,0,1.214,0,0,0,0,0,0,0,0.4988,0.5012,0,0.5012,AL,Alabama,2004,AL,1,2004,0.107,0.022,-0.156,0.84,-0.156,-0.223,1.133,-0.223,2004,Alabama,1.77,0.86,1.65,0,1,1.64706,4.20956,2004,Alabama,Alabama,2004,"Riley, Bob",1.77,0,1.214,0
2006,5-Jul,AL,Alabama,2005,2.5,1,1.90E+10,1.40E+11,4.60E+06,730,7108,2005,2004,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.714286,0.285714,0.590476,0.380952,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,354,2005,Alabama,1.00E+07,7.69,100000,2.22,7.80E+09,1,0,0,2006,Alabama,9,0,1,0,0,0,0,0,0,0,0,2006,2005,Alabama,1,1,1,0,0,0,2006,5-Jul,AL,Alabama,3.50E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.80E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alabama,2004,0.714286,0.609524,0.4988,0,"Riley, Bob",-0.0012,0,0,1.77,Alabama,1,2005,2005,2005,1,0,"Riley, Bob",0,2006,0,1,0,1.77,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4988,0.5012,0,0.5012,AL,Alabama,2005,AL,1,2005,0.107,0.022,-0.15,0.846,-0.15,-0.223,1.133,-0.223,2005,Alabama,1.77,0.86,1.65,0,1,1.64706,4.20956,2005,Alabama,Alabama,2005,"Riley, Bob",1.77,0,0,0
